#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
636603,-922414.6652206779,179340.54700983939,-743074.1182108384,295.5503784318506,700.8697946077414,91.7
639936,-922750.5026848698,180160.1207913051,-742590.3818935647,296.90102303121006,702.0062691265421,91.7
643269,-921558.1359282695,180510.37151987874,-741047.7644083907,297.47823067946314,701.7437371194108,91.7
646602,-921024.3635082869,179585.68829453905,-741438.6752137479,295.9543673828728,700.3907923919985,91.7
649935,-922079.7504395377,182028.7502292525,-740051.0002102852,299.9804947220372,700.6495102465042,91.7
653268,-920824.2213603901,180630.89919035754,-740193.3221700325,297.67685836971754,704.2139960882291,91.7
656601,-923100.2453133715,181336.26479101158,-741763.98052236,298.8392896976128,702.1816613584347,91.7
659934,-920722.607523609,180423.8798800308,-740298.7276435781,297.3356938281239,702.4102500514465,91.7
663267,-921789.0114534013,181819.17579882476,-739969.8356545765,299.6351193830228,702.4585706203738,91.7
666600,-921969.9283609446,180704.38265249488,-741265.5457084498,297.79795795040513,700.3470887742499,91.8
