#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
656601,-916518.5735172005,180469.11840970314,-736049.4551074974,298.99985375577126,696.6771986226356,97.5
659934,-917678.3613954717,179573.9325430596,-738104.4288524122,297.5167166652304,695.7710981821039,97.5
663267,-916792.4447392579,179861.15094203793,-736931.29379722,297.9925779097871,697.8070823650364,97.5
666600,-914541.18743187,178893.6736859097,-735647.5137459603,296.3896689985923,695.4838680890098,97.5
669933,-915350.1497872248,180617.15945429675,-734732.990332928,299.2451270250896,696.0773464318253,97.5
673266,-915456.0864420235,179451.41542190406,-736004.6710201195,297.3137312368596,698.3098037360475,97.5
676599,-917513.5899972077,179394.46848201903,-738119.1215151887,297.2193819828293,695.947119703463,97.5
679932,-913504.7445381256,179562.5228470121,-733942.2216911134,297.4978131681686,698.2529099453747,97.5
683265,-916570.7124373931,181073.57217510545,-735497.1402622877,300.0013081267464,695.6879166071985,97.5
686598,-914297.6298108445,179283.72932944947,-735013.9004813951,297.0359102026427,698.4780777259548,97.5
689931,-916100.7170572355,178824.7059367593,-737276.0111204763,296.27540375979936,697.5256419108714,97.5
693264,-915594.5211554496,179623.9999643045,-735970.5211911451,297.5996679854456,700.4166046584676,97.5
696597,-915824.289881967,179231.15591140033,-736593.1339705667,296.94880696610755,694.5029993183191,97.5
699930,-915750.8588802824,179357.02708215904,-736393.8317981233,297.15734935818307,697.8538449314899,97.5
703263,-916751.8205462033,181048.61419190525,-735703.206354298,299.9599579312522,697.7895675324186,97.5
706596,-916086.2301195255,181444.3131779618,-734641.9169415636,300.61554898198045,695.3051380167121,97.5
709929,-915534.6754731666,180048.9443771838,-735485.7310959828,298.3037126354382,698.7856990536993,97.5
713262,-914434.1373767974,180820.90526663364,-733613.2321101638,299.5826915271435,696.8418416890826,97.5
716595,-913609.6462622248,179973.05355236618,-733636.5927098586,298.1779772978811,696.7711959531617,97.5
719928,-918011.5404572925,179615.51118539204,-738396.0292719004,297.58560384153134,695.6771204525492,97.5
723261,-915628.4158803634,179312.25771542796,-736316.1581649354,297.08317581412587,695.7635568913992,97.5
726594,-917668.1985129863,180574.45380504653,-737093.7447079398,299.17437263235536,696.4170971282498,97.5
729927,-917214.6577558275,178361.91005297576,-738852.7477028518,295.5086470825937,696.3534200596448,97.5
733260,-918403.4906478906,178713.83732670802,-739689.6533211826,296.0917174954481,696.6540061810342,97.5
736593,-914235.3188480139,180477.72412492754,-733757.5947230863,299.01411163887195,698.8354925318386,97.5
739926,-915428.3168790899,179613.05422730523,-735815.2626517847,297.5815331721829,697.9293224637049,97.5
743259,-915436.0530442977,180196.8410717661,-735239.2119725316,298.5487467467629,695.9868598483382,97.5
746592,-914814.2135814037,179792.6095430128,-735021.6040383909,297.8790190446177,698.5710232965122,97.5
749925,-917942.2667210158,179643.55226550164,-738298.7144555142,297.63206208838153,697.8318675526201,97.5
753258,-913806.8623105995,180706.9433469354,-733099.9189636641,299.3938802910508,698.9690832892073,97.5
756591,-915270.8305335725,180354.52706905646,-734916.3034645161,298.8099996998699,697.9274207791377,97.5
759924,-917080.2717813393,180152.52787776617,-736927.7439035731,298.47532898619426,699.1214497733878,97.5
763257,-915350.3224515514,180311.35280152934,-735038.9696500221,298.7384689039621,697.8937301412255,97.5
766590,-916064.37519095,180128.58248114353,-735935.7927098065,298.4356564363897,696.6700277793924,97.5
769923,-916396.0024955589,179388.924225906,-737007.0782696529,297.2101963017467,696.8605689036948,97.5
773256,-914971.2465043496,180039.93678738904,-734931.3097169606,298.2887889296261,698.008768848231,97.5
776589,-915772.7983733425,181171.30534298508,-734601.4930303574,300.1632316910692,697.514330118605,97.5
779922,-917800.0732643399,179435.78307866058,-738364.2901856793,297.28783169025104,698.1722440389162,97.5
783255,-915625.0675495006,180962.17796853173,-734662.8895809689,299.8167510581006,696.400590807326,97.5
786588,-916629.3680724921,179709.4371032624,-736919.9309692297,297.74121958318614,698.3053937146844,97.5
